"Source:","/home/adasneves/src/SAFETy-Computer/Hardware/Schematics/ALU/ALU.kicad_sch"
"Date:","Mon 27 Mar 2023 10:35:01 PM EDT"
"Tool:","Eeschema 6.0.2+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","50"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C2","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C3","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C4","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C5","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C6","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C7","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C8","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C9","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C10","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C11","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C12","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C13","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C14","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C15","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C16","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C17","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C18","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C19","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C20","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C21","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","C22","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"","","J1","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"","","J2","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"","","J3","Conn_02x05_Counter_Clockwise","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","~"
"","","J4","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"","","J5","Conn_02x05_Counter_Clockwise","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","~"
"","","RN1","R_Network08","Device:R_Network08","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"","","U1","74LS113","74xx:74LS113","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS113"
"","","U2","74LS32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS32"
"","","U3","74LS113","74xx:74LS113","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS113"
"","","U4","74LS86","74xx:74LS86","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74ls86.pdf"
"","","U5","74LS04","74xx:74LS04","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"","","U6","74LS86","74xx:74LS86","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74ls86.pdf"
"","","U7","74LS32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS32"
"","","U8","74LS245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS245"
"","","U9","74LS245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS245"
"","","U10","74LS83","74xx:74LS83","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS83"
"","","U11","74LS83","74xx:74LS83","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS83"
"","","U12","74LS245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS245"
"","","U13","74LS00","74xx:74LS00","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74ls00"
"","","U14","74LS00","74xx:74LS00","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74ls00"
"","","U15","74LS245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS245"
"","","U16","74LS245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS245"
"","","U17","74LS245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS245"
"","","U18","74LS245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS245"
"","","U19","74LS86","74xx:74LS86","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74ls86.pdf"
"","","U20","74LS86","74xx:74LS86","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74ls86.pdf"
"","","U21","74LS32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS32"
"","","U22","74LS08","74xx:74LS08","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS08"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","22","C1, C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22","C","Device:C","Capacitor_THT:C_Rect_L9.0mm_W2.5mm_P7.50mm_MKT","~"
"2","3","J1, J2, J4","Conn_01x10","Connector_Generic:Conn_01x10","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Horizontal","~"
"3","2","J3, J5","Conn_02x05_Counter_Clockwise","Connector_Generic:Conn_02x05_Counter_Clockwise","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","~"
"4","1","RN1","R_Network08","Device:R_Network08","Resistor_THT:R_Array_SIP9","http://www.vishay.com/docs/31509/csc.pdf"
"5","2","U1, U3","74LS113","74xx:74LS113","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS113"
"6","3","U2, U7, U21","74LS32","74xx:74LS32","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS32"
"7","4","U4, U6, U19, U20","74LS86","74xx:74LS86","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74ls86.pdf"
"8","1","U5","74LS04","74xx:74LS04","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"9","7","U8, U9, U12, U15, U16, U17, U18","74LS245","74xx:74LS245","Package_DIP:DIP-20_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS245"
"10","2","U10, U11","74LS83","74xx:74LS83","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS83"
"11","2","U13, U14","74LS00","74xx:74LS00","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74ls00"
"12","1","U22","74LS08","74xx:74LS08","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS08"
